,text,cluster
6371,уберите пожалуйста баннер,технические вопросы
6372,не чё не понятно но очень интересно,позитивные неформальные сообщения
6373,ну ды,неформальные нейтральные сообщения
6374,тело,неформальные нейтральные сообщения
6375,голова,бессенс
6376,да; 2024-03-24T08:20:34.228Z,запросы о площадке и обучении
6377,а эти папки как удалить,технические вопросы
6378,можно показать?,технические вопросы
6379,можно показать?????,технические вопросы
6380,а можно показать,запросы о группах и обучении
6381,я смотрю,неформальные нейтральные сообщения
6382,я модельку токо сделал,обсуждение кода
6383,а когда перерыв,неформальные нейтральные соobщения
6384,ура я детали закончил; 2024-03-24T09:32:51.140Z,неформальные нейтральные сообщения
6385,3; 2024-03-31T08:03:35.738Z,темпы репозитория
6386,спам,флуд
6387,зомби-абобус,флуд
6388,а го после занятий на сервере поиграем?,обсуждение кода
6389,чё за сервер,технические вопросы
6390,мы создавали там базы-башни,обучение и опыт
6391,в майне?,технические вопросы
6392,а какой локальный код сервера,технические вопросы
6393,который в телаунчере,неформальные нейтральные сообщения
6394,я знаю ну какой код сервера???,технические вопросы
6395,там милионн серверов какой имено?,запросы о технических данных
6396,там сервера нажмёшь добавить сервер и там нажмёшь добавить и играешь,обучение и опыт
6397,так а я как унаю какой твой,различные неформальные сообщения
6398,я сигмаааааааааааааааааааааааааааа,неформальные нейтральные сообщения
6399,нет; 2024-03-31T08:24:54.684Z,технические вопросы
6400,а как удалить ту фигню,технические вопросы
6401,я на три точки и нажал удалить,технические вопросы
6402,я тож амогус,неформальные нейтральные сообщения
6403,ребят все играют в роблокс или в стендофф2,игры
6404,НЕТ; 2024-03-31T08:43:45.353Z,неформальные нейтральные сообщения
6405,пан; 2024-03-31T08:44:14.025Z,неформальные нейтральные сообщения
6406,а ты 2,неформальные нейтральные сообщения
6407,кто третий?,вопросы
6408,я 2ой,номер группы
6409,я8,неформальные сообщения
6410,ПЛУС,положительный неформальные соobщения
6411,1 6 2 5; 2024-03-05T15:03:15.314Z,запросы о группах и обучении
6412,05.янв,нет группы для данного текста
6413,КОГДА ПИРЕМЕНА; 2024-03-05T15:37:51.691Z,даты и события
6414,о нннннннннннннннннннннннеееееееееееееееееееееееееееееееееееееееееттттттттттттттттттттттттттттттттт; 2024-03-05T15:53:04.650Z,неформальные нейтральные сообщения
6415,у меня зегодня в шк такооооооое было,неформальные нейтральные сообщения
6416,што ?,неформальные нейтральные сообщения
6417,тренировка,обучение и опыт
6418,ну и что,неформальные нейтральные сообщения
6419,от которой мы оооооочень испугались,неформальные нейтральные сообщения
6420,а штотом было,неформальные нейтральные сообщения
6421,пр всем,приветствия
6422,12356,нет определенной семантики
6423,2 6 5 3 4,технические вопросы
6424,Я всегда Cat,неформальные нейтральные сообщения
6425,65,технические вопросы
6426,6 потому что в школе испугался,больше школы
6427,тренировки,обучение и опыт
6428,03.июн,неapplicable
6429,ВИКТАРИНА УРА,позитивные эмоциональные сообщения
6430,кото-сел,неформальные нейтральные сообщения
6431,чур я на 1 месте,неформальные нейтральные сообщения
6432,ЗАХОДИТЕ,прощания
6433,у нас долго грузится,технические вопросы
6434,КТО ДИЗЛАЙКИ СТАВИТ,технические вопросы
6435,платон,математика
6436,если нет извини,извинения
6437,извини,извинения
6438,нея,1
6439,я ставлю дизлайки,токсичные сообщения
6440,Я ЛАЙКИ,позитивные неформальные сообщения
6441,ПЛАХОЙ,токсичные сообщения
6442,МИША,неформальные нейтральные сообщения
6443,дааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа,неформальные нейтральные сообщения
6444,ПОЧЕМУ Я ПЛОХОЙ,токсичные сообщения
6445,и что,1
6446,дикун,неформальные нейтральные сообщения
6447,не ты дикун миша,неформальная группа
6448,не ты,неформальные нейтральные сообщения
6449,АААААААА,неформальные нейтральные сообщения
6450,ну чо ааааааааааааааа,1
6451,бэээээ,nothing meaningful detected
6452,еёжзий,набора букв
6453,к,неформальные нейтральные сообщения
6454,л,нет возможности классифицировать данный текст он представляет собой пустую строку
6455,м,неформальные нейтральные сообщения
6456,пв\,неформальные нейтральные сообщения
6457,п,ничего
6458,тлдь,неформальные нейтральные сообщения
6459,п легпвглднрсмт ьчротривсисавочспиь,неформальные нейтральные сообщения
6460,вар,группа кулинарных тем
6461,пр скео впрэсрчч,технические вопросы
6462,ор,неформальные нейтральные сообщения
6463,ыаодылдоывмбщл,никакой группы для данного текста нет
6464,ьэ,1
6465,явмртяиртияаэиипы,запросы о группах и обучении
6466,прпми,практические вопросы
6467,ыит,нет определенной семантики в тексте
6468,ь,здрасьте у меня voпрос об обучении
6469,са,неформальные нейтральные сообщения
6470,саь,нет подходящей группы
6471,ссьа,неформальные нейтральные сообщения
6472,сь,неформальные нейтральные сообщения
6473,ьсаььь,нет определенной семантики
6474,ььь,1
6475,абвгдежзийклмнопрстуфхцчшщъыьэюя,нет определенной семантики данный текст состоит из букв русского алфавита не присутствует никакой семантики для кластеризации в существующие группы
6476,ЧЕ ЗА БУКВЫ,токсичные сообщения
6477,ты гений,позитивные эмоциональные сообщения
6478,ьь,нет определенной семантики
6479,ДА ХХХХХХХХХВВВВВВВВАААААААТТТТТТТТТТТИИИИИИИИИИТТТТТТТТ,1
6480,арена,игры и развлечения
6481,плохиши,токсичные сообщения
6482,44444,неформальные нейтральные сообщения
6483,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,нейтральные формальные сообщения
6484,ХАЧУ 6 6 6,неформальные нейтральные сообщения
6485,111111ё1,неформальные нейтральные сообщения
6486,2024-03-12T15:26:13.943Z,вопросы о данных
6487,нееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееет,неформальные нейтральные сообщения
6488,модели; 2024-03-12T15:30:20.662Z,обучение и модели
6489,создавать моды,обсуждение кода
6490,карты; 2024-03-12T15:32:03.833Z,материалы и карты
6491,модели,технические темы
6492,моды,мода
6493,модели; 2024-03-12T15:32:15.503Z,модели
6494,карты; 2024-03-12T15:32:58.792Z,карты
6495,я карту буду делоть; 2024-03-12T15:33:03.438Z,целое numbers and dates
6496,я моды; 2024-03-12T15:34:12.838Z,мода
6497,пака всем; 2024-03-12T15:37:29.747Z,неформальные нейтральные сообщения
6498,ты куда ?; 2024-03-12T15:37:47.961Z,вопросы о мероприятии
6499,Дикун Михаил я все расскажу; 2024-03-12T16:31:32.349Z,неформальные нейтральные сообщения
6500,"1,11E+156",математика
6501,"1,11E+168",неформальные нейтральные сообщения
6502,2222222222,флуд
6503,"2,22E+25",нет определенной семантики либо это конечная степень числа или научное понятие
6504,"2,22E+36",нет группы для чисел наборов цифр
6505,"2,22E+72",неформальные нейтральные сообщения
6506,"2,22E+107",нет возможности выделить semanтику для данного текста как он представлен
6507,"2,22E+169",неформальные нейтральные сообщения
6508,"4,44E+96",математика
6509,555555,нет описания текста для классификации текст состоит только из цифр
6510,"5,56E+78",нет групп для данного текста
6511,"6,67E+24",технические вопросы
6512,"6,67E+36",математика
6513,"6,67E+37",нет определенной семантики
6514,"6,67E+38",неформальные нейтральные сообщения
6515,"6,67E+152",нет определенной семантики
6516,"6,67E+179",нет определенной семантики в тексте
6517,666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,неформальные нейтральные сообщения
6518,за 22222,электронная почта
6519,молоты,1
6520,мечи,оружие и военная история
6521,пистолет который стреляет бедроком,технические вогреждения
6522,меч на 17 урона,обсуждение игр
6523,арболет с 7 крипов,технические вопросы
6524,или меч на 22 урона...,обсуждение кода
6525,бензопила,технические вопросы
6526,моб демороз с базукой,технические вопросы
6527,пулемёт,технические воanzösские сообщения
6528,медо кидатель,ссылки на фейковые ресурсы
6529,лядиной меч который замораживает на 8 секунд при каждом ударе,рассказы о волшебном оружии
6530,нет 10 секунд,новой группы нет
6531,лаловый трезубец,обсуждение кода
6532,град из лавы лава озеро 10 м; 2024-03-12T15:46:15.679Z,отступления от темы
6533,23 секунду; 2024-03-12T15:46:36.538Z,1
6534,пулемёт который стреляет тиинти а когда стреляет лавой чтобы я тиинти еще поджигался,игры и резьба
6535,ну я наверно; 2024-03-12T15:50:45.392Z,неформальные нейтральные сообщения
6536,оооооооогромеееенную пвп\,положительный неформальные сообщения
6537,4; 2024-03-12T15:45:16.854Z,ответы и решения
6538,444455,технические вопросы
6539,5; 2024-03-12T15:45:38.907Z,запросы о группах и обучении
6540,222; 2024-03-12T15:46:42.109Z,системные сообщения
6541,го делоть пвп арену,обсуждение игр
6542,ауууууууууууууууу,неформальные нейтральные сообщения
6543,делайте пвп  арену; 2024-03-12T16:10:15.002Z,обсуждение обучения pvp арены
6544,шит,флуд
6545,копье,1
6546,нож; 2024-03-12T15:46:28.980Z,орудия или инструменты
6547,ружье,оружие
6548,бита,элементы символьной системы
6549,гранатомет; 2024-03-12T16:00:10.010Z,неформальные нейтральные сообщения
6550,ехеххеехееехеехехееххеехехехеехеххеехехехехехехехххехехехехехехехехехехехехеххеххх; 2024-03-12T16:00:45.244Z,неформальные нейтральные сообщения
6551,ХАХААХХАХХАХАХАХАХАХХ ЭТО Я; 2024-03-12T16:20:36.886Z,неформальные нейтральные сообщения
6552,граната,фрукты
6553,снаряд; 2024-03-12T16:28:10.756Z,оружие
6554,здраствуйте; 2024-03-19T14:50:46.100Z,1
6555,13456,технические вопросы
6556,"3,5",запросы о группах и обучении
6557,3-6-4-1,различные тематические вопросы
6558,5; 2024-03-19T15:04:21.833Z,запросы о группах и обучении
6559,шо не хочеш,токсичные сообщения
6560,что не хочешь?,неформальные нейтральные сообщения
6561,пашол вон,неформальные нейтральные сообщения
6562,а чо происходит; 2024-03-19T15:18:45.034Z,неформальные нейтральные сообщения
6563,лайдиз,комплименты
6564,УРАААААААААААААААААААААААААААААААААААААААААААААААААА,положительный неформальные сообщения
6565,ДА МИШ СОГЛ ТИХО!,неформальные нейтральные сообщения
6566,6; 2024-03-26T15:01:32.652Z,технические вопросы
6567,612,технические вопросы
6568,136,технические вопросы
6569,5-6; 2024-03-26T15:01:55.560Z,запросы о группах и обучении
6570,аха; 2024-03-26T15:08:38.184Z,неформальные нейтральные сообщения
6571,здраствует,приветствия
6572,сева,1
6573,можно с вами,неформальные нейтральные сообщения
6574,го; 2024-03-02T13:17:42.258Z,неформальные нейтральные сообщения
6575,у мнея рб загружается,технические вопросы
6576,миш,нет соответствующей группы
6577,заходи; 2024-03-02T14:18:47.802Z,приветствия
6578,хехехехехе; 2024-03-09T13:14:32.642Z,неформальные нейтральные сообщения
6579,2; 2024-03-16T13:01:42.059Z,профессиональные вопросы
6580,у меня снег идет,зимние погодные условия
6581,сева можно к вам в игру?,запросы о группах и обучении
6582,пж; 2024-03-16T14:23:18.163Z,приветствия
6583,у меня есть неполадки,технические вопросы
6584,с роблокс студио,игротематика
6585,зайти в него не могу,технические проблемы
6586,и в роблокс тоже,технические вопросы
6587,у меня просто микрофон не может включится,технические вопросы
6588,я хотел сказать,различные тематические сообщения
6589,что у меня созданы только враги,токсичные сообщения
6590,щяс перезагружусь; 2024-03-30T14:19:16.310Z,технические вопросы
6591,я люблю точки,эмоциональные сообщения
6592,пасмурно,неформальные нейтральные сообщения
6593,У нас за зиму было 3 снега и 2 гололёда,неформальные нейтральные сообщения
6594,В донецке намного больше СНЕГА,зона погоды
6595,и ёда,неформальные нейтральные сообщения
6596,у меня -2 и пасмурно,погода
6597,лёда,зимние стихи и погоды
6598,У меня температура +2,погода
6599,В ростове,города
6600,я ехала в Калинаво,рассказы о личном опыте
6601,Это шо за город,неформальные нейтральные сообщения
6602,это посёлок,описательные сообщения
6603,Я НЕ нашол город тот,запросы о местеположение
6604,ударение на букву и,фонология
6605,Колинаво,словцо
6606,У дарение не надо ставить,обсуждение кода
6607,И не возможно,неформальные нейтральные сообщения
6608,это Свердовской области,география
6609,драсте,неформальные нейтральные сообщения
6610,на День Рождение маминой подруги,позивные и праздники
6611,ЭТО ОКОЛО ЕКАТЕРИНДУРГА,неформальные нейтральные сообщения
6612,екатеринбурга,география
6613,А екатеринбург далеко от меня,прощания
6614,снег,зимний ландшафт
6615,я в сочи,нет определенной группы
6616,у меня снег,погода
6617,солнечно,деньги和бизнес
6618,снег в горах,безыницииальные сообщения
6619,а я на 540,numbers and quantifiers
6620,там его нет,nothing to see here
6621,на поезде,мобильность
6622,солнце,погода
6623,3 градуса,технические вопросы
6624,а на скоростной 30 мин,технические вопросы
6625,У МЕНЯ СНЕГА В ФЕВРАЛЕ НЕ БЫЛО И ЛЁДА,запросы о погоде
6626,А в яанваре 1 раз,запросы о группах и обучении
6627,Лазерное оружие и звук выстрела ура!,неформальные нейтральные сообщения
6628,январе,месяцы
6629,а что снега вместе с солнцем не бывает разве,неформальные нейтральные сообщения
6630,КОГДА БУДЕТ РОЛЕВАЯ ИГРА,обсуждение мероприятий
6631,РП,разные произношения приветствий
6632,я живу в чехове просто я улетел на 5дней,путешествия
6633,где можно выбирать любую роль,роли
6634,Акак я научись делать ролевую игру,обучение и опыт
6635,осталось 5 уроков,запросы о группах и обучении
6636,ЛЕТОМ???,неформальные нейтральные сообщения
6637,ГДЕ Я НАЮЧУСЬ СОЗДАВАТЬ РОЛЕВУЮ ИГРУ,где обучение и местонахождение
6638,осталось 5 уроков ??????,запросы о количестве уроков
6639,НЕЕЕЕЕЕЕЕЕЕЕЕЕЕТ,неформальные нейтральные сообщения
6640,а чо нас только 7?,вопросы о группах и обучении
6641,пришла и отарвала голову нам чумачечая весна,неформальные нейтральные сообщения
6642,1 3 4,вопросы
6643,12346,нет группа не определена этот текст похож на код его лучше классифицировать в группу обсуждение кода
6644,256,технические вопросы
6645,нееееееееееееееееееееееееееееееееееееееееет,неформальные нейтральные сообщения
6646,Я НОЧЬЮ НЕ СПАЛ МНЕ БЫЛО СТРАШНО В ТЕМНОТЕ,неформальные нейтральные сообщения
6647,я отправлю работу когда приеду домой просто нет возможности пока,отсутствие встречаемости
6648,я не сонный,неформальные нейтральные сообщения
6649,олег скример,имена
6650,ровно минута,технические вопросы
6651,омагат,неформальные нейтральные сообщения
6652,"Лазерное оружие — оружие, которое использует в качестве поражающего элемента лазерные лучи. Лазерное оружие начали разрабатывать разными государствами и компаниями с 1960-х годов.",наука и техника
6653,а как на всё камуфляж натянуть?,технические вопросы
6654,а можно без текстур?,технические вопросы
6655,можно сделать дуло внутри пистолета,технические вопросы
6656,можете еще раз показать,запросы о группах и обучении
6657,как сделать хендал,технические вопросы
6658,Когда будет перерыв,прощания
6659,и випон,1
6660,СКОРО ДОЛЖЕН БЫТЬ ПЕРЕРЫВ,токсичные сообщения
6661,я ниче ни понял,неформальные нейтральные сообщения
6662,как сделать випонннн,технические вопросы
6663,как сделать тул,различные тематические вопросы
6664,что делать с тул,технические вопросы
6665,что делать дальше?,дальше дальше что задачи
6666,телефон,технические вопросы
6667,сломанный,технические воabloрк вопросы
6668,у меня нету челика,неформальные нейтральные сообщения
6669,чаго?,неформальные нейтральные сообщения
6670,мемы типо,неформальные нейтральные сообщения
6671,я в это играл,игры и развлечения
6672,аааа пон,неформальные нейтральные сообщения
6673,у меня не получилось,технические вопросы
6674,"Я ВЕРНУЛСЯ

12:02",положительные неформальные сообщения
6675,у меня челик не появляется,технические вопросы
6676,о куда надо я забыл,неформальные нейтральные сообщения
6677,локал скрипт,технические вопросы
6678,куда надо записать local script,технические вопросы
6679,яу меня не скопираволась,неформальные нейтральные сообщения
6680,а я все удалил,флуд
6681,хахахаха не успел,неформальные нейтральные сообщения
6682,я тоже почти не успел пришлось  раза скопировать,технические воображения
6683,да я успел просто у меня не перекопировал,технические вопросы
6684,чуть-чуть,неформальные нейтральные сообщения
6685,у меня ненпьрпо; 2024-03-03T09:13:33.998Z,неформальные нейтральные сообщения
6686,этот звук хоть и тихий но не приятный,неформальные нейтральные сообщения
6687,у меня не стреляет??,технические вопросы
6688,И УМЕНЯ МЕСТА СТРЕЛЬБЫ Я ЛЕТАЮ,неформальные нейтральные сообщения
6689,ПЖ ПЖ ПЖ,приветствия
6690,УРОК ТРУДНЫЙ НА 5,обучение и опыт
6691,2024-03-03T09:32:53.279Z,технические вопросы
6692,ХОТЯ НА 10,неформальные нейтральные сообщения
6693,Я НАУЧИЛСЯ ЛЕТАТЬ,обучение и опыт
6694,2024-03-03T09:33:19.519Z,запросы о группах и обучении
6695,ПЛОГОДОРЯ ПИСТОЛЕТА Я ЛЕТАЮ,неформальные нейтральные сообщения
6696,Я ЛЕТАЮ,беспроблемное обучение
6697,я хотел сказать  я сделал лазерное оружие,оружие
6698,Благодоря*,приветствия
6699,я заполнил я могу идти?,вопросы
6700,могу я идти,вопросы обсуждение программы работы
6701,поняно; 2024-03-03T09:36:29.096Z,1
6702,Ты же был  в роблокс студии,игры
6703,У меня карта выглядит и настроина на момент когда третий рейх атаковал мажино; 2024-03-03T09:38:26.026Z,исторические комментарии
6704,времени нету,технические вопросы
6705,на прошлом уроке я не работал,обучение и опыт
6706,потому что у менч весь урок роблокс студио грузился,технические вопросы
6707,хорошо; 2024-03-03T09:47:35.319Z,неформальные нейтральные сообщения
6708,у нас почти,прощания
6709,у меня комп взорвался,технические вопросы
6710,Я РОБЛОКС СТУДИЮ ЕЕ МОГУ ЗАГРУЗИТЬ,онлайн платформа
6711,да он долго  грузить будет,технические вопросы
6712,обнова в роблокс вышло,технические вопросы
6713,уже все ок,неформальные нейтральные сообщения
6714,УРА ЗАГРУЗИЛАСЬ РОБЛОКС СТУДИЯ,обновления и события
6715,у меня крокодилы летают,нанотехнологии
6716,Я ЗАГРУЖАЛ 2,математика
6717,в реале,неформальные нейтральные сообщения
6718,не игра а сам роблокс студио,обсуждение обучения roblox studio
6719,А ЩЯС 1,неформальные нейтральные сообщения
6720,аллигаторы,редкие слова
6721,из за обновления,технические вопросы
6722,какие,сокращения
6723,бабель,флуд
6724,Я УМЕНИШИЛКАРТУ УДАЛИЛ ЛИШНИИ ДЕТАЛИ,технические вопросы
6725,Половину германии удалил,технические воugnoи обознование проблем с по
6726,ультанул,неформальные нейтральные сообщения
6727,и немножно франции,отклонения от темы
6728,а что мы делаем?,различные тематические вопросы
6729,будем печь самсу?,обсуждение кода
6730,у меня есть другц,неформальные нейтральные сообщения
6731,он умеет,разговорные выражения и неформальные тексты
6732,олег щас трансформируется,неформальные нейтральные сообщения
6733,Бета-версия богдана,технические обсуждения
6734,нету её,нет сообщения
6735,1 2 3 5 6,1
6736,ну вроде этот,неформальные нейтральные сообщения
6737,У МЕНЯ ЧИРА СЕРДЦЕ ЧУТЬ НЕ ОСТАНОВИЛОСЬ,неформальные нейтральные сообщения
6738,Я впервые висел на турнике а  я боюсь высоты,неформальные сообщения
6739,я воду в кипящее масло,технические вопросы
6740,лью,неформальные нейтральные сообщения
6741,СОГЛ богдан,уважение и поздравления
6742,Я подключилсяя первый,приветствия
6743,Я в 3 клас,запросы о группах и обучении
6744,ВПР это что,вопросы о группах и обучении
6745,в кавычках,неформальные нейтральные сообщения
6746,я не могу подключится,технические вопросы
6747,Это чо за скрипт,технические вопросы
6748,это тоже можно вроде,неформальные нейтральные сообщения
6749,"скрипт на команды, пожалуйста",технические вопросы
6750,не нужно,хорошо познакомился с материалом на сеансе
6751,но там и смерти пишутся,разницалки дискуссионная тематика мелорамы
6752,с прошлых проэтов,обучение и опыт
6753,с обби,флуд
6754,и тд,неформальные нейтральные сообщения
6755,так обби я досихпор обновляю..,промежуток времени obsolete update
6756,мне с режима 900 робуксов пришло,технические вопросы
6757,можете скрипт ве,технические вопросы
6758,можно отойти на 5 минут? мне нужно быстро сходить кое куда,запросы о продолжительности мероприятия
6759,"loader часто бывает в троянах, или вирусных скриптах..",технические вопросы
6760,кто хочет fnaf world бесплатно,полезные ссылки
6761,и она появляется в стиме в библиотеке,фильмы и литература
6762,vможно все же скрипт на команды,обсуждение кода
6763,можно показать правильно или нет сделал,технические вопросы
6764,КАКОЙ БОЛЬШОЙ СКРИПТ,технические вопросы
6765,у меня килы работают.,технические вопросы
6766,щас проверил,технические вопросы
6767,Я такие только видел на ютубе у разрабов,обсуждение кода
6768,"Екатерина Плюснина, можете скрипт дать на команды",обсуждение кода
6769,распределения,технические вопросы
6770,красный синий,цветовая тематика
6771,а сможете в телеграм в личку скинуть?..,технические вопросы
6772,теамс,обсуждение команд
6773,кому была полезна информация про fnaf world,запросы о группах и обучении
6774,имр,флуд
6775,"кстати, на моей карте бомбы красиво взрываются..",неформальные нейтральные соobщения
6776,Я написал,личные изыскания
6777,Я скопировал и поменял скрипты,технические во воинки вопросы
6778,петя,неформальные нейтральные сообщения
6779,попробуй мой скрипт,технические вопросы
6780,в майн,технические вопросы майнкаффа
6781,мем,мемы
6782,в мемы,найтиловка
6783,а давай те в мемы,неформальные нейтральные сообщения
6784,мемы,на альные неформальные сообщения
6785,ЧЕГО ЭТО МНОГО,неформальные нейтральные сообщения
6786,36 СТРОК,1
6787,пупмумпмумпум,неформальные нейтральные сообщения
6788,УВЕЛИЧТИ СКИРПТ ПОЖАЛУСТА,неформальные нейтральные соobщения
6789,Бета-версия скрипта,обучение и опыт
6790,папапапапапапап,неформальные нейтральные сообщения
6791,Бета-версия Конференции,билья версия
6792,правильно все или нет,технические вопросы
6793,тоже ставрые работы,творческие сообщения
6794,гомо гомо гомуно,токсичные сообщения
6795,пистолет,оружие
6796,5 гир,неформальные сообщения
6797,ет,нет содержания для группирования
6798,в личку,неформальные нейтральные сообщения
6799,хорош мегахорош суперхорош; 2024-03-10T09:26:45.522Z,неформальные положительные сообщения
6800,"средне, нормально, плохо; 2024-03-10T09:27:13.818Z",оценка
6801,1 очень 2 монеты 3 да,намеки и шутки
6802,супер хорош,позитивные неформальные сообщения
6803,неочень,неформальные нейтральные сообщения
6804,фигня,токсичные сообщения
6805,ИНТЕРЕСНО круто хорошо; 2024-03-10T09:27:38.355Z,положительный неформальные сообщения
6806,супер хорош; 2024-03-10T09:27:53.937Z,положительный неформальные сообщения
6807,Брскибиди доп доп ес ес ес е,неформальные нейтральные сообщения
6808,потому что я не сделал лазер,технические вопросы
6809,Брскибиди доп доп ес ес ес скибди  скибиди доп доп ес ес; 2024-03-10T09:28:23.058Z,неформальные нейтральные сообщения
6810,до свиданияъ; 2024-03-10T09:31:57.861Z,прощания
6811,какой урок?,запросы о группах и обучении
6812,да всё нормально; 2024-03-10T09:32:29.179Z,неформальные нейтральные сообщения
6813,ЕЩЁ НЕДЕЛЯ И КАНИКУЛЫ,неформальные нейтральные сообщения
6814,Каникулы,отпуск
6815,я пиксель ган скачал,программирование и кодинг
6816,екатерина плюснина извините у меня звука нету,технические нейтральные сообщения техническая помощь и бесполководство
6817,У нас в пятницу отменили школу из за выборов призедентаю,вопросы о проведении мероприятий события
6818,и у нас,неформальные нейтральные сообщения
6819,я начинаю играть на гитаре,игровая тематика
6820,Только нельзя была говорить другим только родителям,родительский контроль
6821,Я хочу научится быстро писать скрипты,обучение и опыт
6822,и создавать их,коммунальное обучение
6823,Я англиский язык не навижу,язык и локализация
6824,тогда тебе в сфере программирования нечего делать,обсуждение кода
6825,а что было на прошлом уроке,запросы о группах и обучении
6826,ЧИПИ чапа чапа чапа руви руви ла лава,нейтральные неформальные сообщения
6827,х,комментарий с приветствием и желанием удачного обучения
6828,бараш гилтер?,вопросы о преподавателях информация о преподавателе
6829,1346,технические вопросы
6830,5 - австрийский художник,художники и искусство
6831,1 5,технические вопросы
6832,полтора,фразы числовых
6833,у меня настроение ~(>_<?)?,неформальные нейтральные сообщения
6834,ультанул; 2024-03-17T08:04:41.473Z,неформальные нейтральные сообщения
6835,Я ПЕРВЫЙ БЫЛ,неформальные нейтральные сообщения
6836,Я РАЗДЕЛЬНО НАПИСАЛ...,неформальные нейтральные сообщения
6837,ЛИДЕР БОРД,торговля
6838,упс,неформальные нейтральные сообщения
6839,извините у меня очень плохое подключение,технические вопросы
6840,Я быстрей всех отвечал,успехи и быстродействие
6841,Я под конец затупел,неформальные нейтральные сообщения
6842,сват..,неформальные нейтральные сообщения
6843,докс..,полезные ссылки
6844,У МЕНЯ ИГРА ЗАГРУЖАЕТСЯ ПОЛЧАСА,технические вопросы
6845,У меня игра не загружается,технические вопросы
6846,Шо мне делать у меня игра не загружается,технические вопросы
6847,У меня показана шо я играю в своеё игре но она у меня загружается,технические вопросы
6848,Я не могу загрузить,технические вопросы
6849,а какую карту мне открывать?,вопросы
6850,УРААААААААААААА ЗАГРУЗИЛАСЬ,неформальные нейтральные сообщения
6851,АААААААААААААААААААААААААААААА,неформальные нейтральные сообщения
6852,У МЕНЯ РОБЛОКС НЕ ЗАГРУЗИЛСЯ,технические вопросы
6853,ОНА БУДЕТ ГРУЗИТЬ 2024 ТОН ЧАСОВ,технические данные
6854,БОГДАН,неформальные нейтральные сообщения
6855,Варя,неформальные сообщения
6856,АЛИСА!!!,название группы
6857,АЛИСАААААААААА,неформальные нейтральные сообщения
6858,А Л И С А,неформальные нейтральные сообщения
6859,АЛИСАААААА,неформальные нейтральные сообщения
6860,АЛИСА,имя
6861,АЛИСА АЛИСА!!!!,неформальные нейтральные сообщения
6862,Я ЩИТ СДЕЛАЛ,обучение и опыт
6863,МНОГОПОЛЬЗУВУЮ ИГРУ ОТКРЫВАТЬ,игры
6864,"Оружее то красивое , но у него эта красная пимпочка отваливается :_) её объеженить эту красную штуку с оружеем?",неформальные нейтральные сообщения
6865,НЕТТТТТТ,флуд
6866,аа оке,неформальные нейтральные сообщения
6867,мммм скрипты??,обсуждение кода
6868,согласен я их тоже ненавижу,отзывы мнения
6869,а что делать если карты нету,технические вопросы
6870,Я НЕМОГУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУУ,нейтральные неформальные сообщения
6871,З,неформальные нейтральные сообщения
6872,ты не можешь зевать ? -_-,неформальные нейтральные сообщения
6873,У МЕНЯ ЩИТ ЗАРАБОТАЛ,технические вопросы
6874,УРААА У МЕНЯ НЕ ОТВАЛИВАЕТСЯ КРАСНАЯ ПИМПОЧКААА,положительный неформальные сообщения
6875,Я УЛИТКА,неформальные нейтральные сообщения
6876,можно отойти?,запросы о мероприятии
6877,УРА У МЕНЯ ЩИТ ЗАРАБОТАЛ,неформальные позитивные сообщения
6878,У меня щи заработал,технические вопросы
6879,А можно отойти,шкафетка
